type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
9,2021-04-25 01:51:43+0000,988,1.5649452,0.106428266,5488.0,0.18002877,109.0
9,2021-04-24 23:16:35+0000,1914,3.8022811,0.065462165,10501.0,0.18217103,217.0
9,2021-04-21 22:17:04+0000,1934,0.76687115,0.06418073,8860.0,0.21814871,167.0
9,2021-04-21 17:17:48+0000,2279,1.7123288,0.077531405,11988.0,0.19009873,213.0
9,2021-04-18 17:40:24+0000,1934,2.8490028,0.06325111,8848.0,0.21846513,196.0
9,2021-04-18 14:40:46+0000,3713,3.846154,0.09876543,10324.0,0.35964218,236.0
9,2021-04-18 13:31:53+0000,1664,6.4102564,0.057240985,9648.0,0.1723601,179.0
9,2021-04-11 17:49:43+0000,2901,1.5873016,0.11224604,7478.0,0.38777202,509.0
9,2021-04-10 19:18:54+0000,1972,0.85397094,0.064482845,10513.0,0.18747734,610.0
9,2021-04-04 15:06:34+0000,3473,2.3310025,0.07691125,11260.0,0.30841,343.0
9,2021-04-03 22:09:14+0000,2413,3.2467532,0.087458454,11265.0,0.21409859,243.0
9,2021-03-30 15:13:23+0000,2371,2.1505377,0.07133176,10308.0,0.2299094,239.0
9,2021-03-30 11:47:50+0000,4425,1.4705882,0.078339204,15533.0,0.28486064,446.0
9,2021-03-29 23:25:38+0000,1988,2.0833335,0.09769441,9360.0,0.21227244,224.0
9,2021-03-29 19:41:26+0000,2382,1.1061947,0.12695189,7687.0,0.30972967,469.0
9,2021-03-29 18:15:19+0000,2145,6.802721,0.0700133,10252.0,0.20922747,229.0
9,2021-03-25 12:53:56+0000,3468,9.174313,0.067567565,15307.0,0.22648533,405.0
9,2021-03-23 11:11:09+0000,8875,1.3812156,0.06671114,34553.0,0.2568451,1236.0
9,2021-03-22 16:36:28+0000,6592,8.62069,0.07073636,26944.0,0.24461684,656.0
9,2021-03-22 15:30:41+0000,1667,1.2820513,0.15339775,3015.0,0.55245745,179.0
9,2021-03-22 14:57:12+0000,303,0.40650406,0.16116035,891.0,0.33882302,28.0
9,2021-03-21 21:01:00+0000,401,0.4918839,0.13508038,1775.0,0.22591549,50.0
9,2021-03-21 15:06:43+0000,4052,3.030303,0.06023371,19272.0,0.2101911,567.0
9,2021-03-18 13:07:57+0000,1230,4.950495,0.06815703,4303.0,0.2855741,94.0
9,2021-03-18 12:21:08+0000,1477,2.8735633,0.06311936,5469.0,0.2700355,104.0
9,2021-03-15 14:37:39+0000,7156,2.3809524,0.07026419,28246.0,0.25334477,1362.0
9,2021-03-13 21:25:20+0000,2647,1.345895,0.065737575,9729.0,0.2720595,612.0
9,2021-03-12 19:38:16+0000,3721,7.142857,0.10638298,15238.0,0.24412036,284.0
9,2021-03-12 15:34:35+0000,1849,1.0,0.073480785,11009.0,0.16795349,173.0
9,2021-03-12 15:18:45+0000,571,0.34141347,0.16583747,724.0,0.78823245,29.0
9,2021-03-04 12:20:18+0000,1052,1.9531249,0.07719623,3483.0,0.30172747,90.0
16,2021-03-04 11:01:59+0000,4424,0.0,1.8000001,0.0,0.0,253.0
9,2021-03-04 10:40:31+0000,752,1.5082957,0.0696088,3476.0,0.21600966,123.0
9,2021-03-03 12:18:32+0000,951,0.7518797,0.13861935,3301.0,0.28773117,136.0
16,2021-03-03 11:08:48+0000,3833,0.0,1.8000001,0.0,0.0,248.0
9,2021-03-03 10:48:12+0000,699,0.7911392,0.07345919,3441.0,0.20279257,77.0
9,2021-03-03 10:40:20+0000,248,0.5793743,0.20354162,210.0,1.1794758,25.0
9,2021-03-02 12:30:42+0000,944,0.7564296,0.07027901,3468.0,0.27183986,227.0
9,2021-03-02 10:40:32+0000,763,1.5128592,0.06775068,3483.0,0.2190222,194.0
9,2021-03-01 21:33:08+0000,2248,2.5445292,0.07447125,10704.0,0.20999692,266.0
9,2021-03-01 14:16:07+0000,8502,3.4965034,0.06533812,25316.0,0.33578363,786.0
9,2021-02-26 12:02:29+0000,931,0.91074675,0.09414423,3432.0,0.27090037,83.0
16,2021-02-26 10:49:41+0000,4147,0.0,1.8000001,0.0,0.0,181.0
9,2021-02-26 10:31:38+0000,744,3.2467532,0.079655886,3435.0,0.21654712,89.0
9,2021-02-25 12:25:54+0000,859,0.7122507,0.07155123,3405.0,0.25226694,104.0
16,2021-02-25 11:11:11+0000,4234,0.0,1.8000001,0.0,0.0,234.0
9,2021-02-25 10:52:38+0000,707,0.88495576,0.063783646,3439.0,0.20526795,66.0
9,2021-02-23 12:17:02+0000,4486,2.0325203,0.06984703,18625.0,0.24085873,575.0
9,2021-02-23 11:54:38+0000,634,0.6775068,0.11107408,3278.0,0.19336322,81.0
16,2021-02-23 10:51:38+0000,3543,0.0,1.8000001,0.0,0.0,198.0
9,2021-02-23 10:34:08+0000,719,2.0703933,0.06305568,3423.0,0.20971271,106.0
9,2021-02-22 12:22:27+0000,1098,3.030303,0.06702862,3429.0,0.32016888,216.0
16,2021-02-22 11:09:37+0000,4000,0.0,1.8000001,0.0,0.0,181.0
9,2021-02-22 10:50:35+0000,729,0.7968128,0.087100424,3432.0,0.21207342,188.0
9,2021-02-21 14:42:33+0000,1631,5.0,0.06870491,6576.0,0.24783921,207.0
9,2021-02-21 12:50:47+0000,1283,8.264462,0.0585343,6599.0,0.19440086,182.0
9,2021-02-19 12:21:23+0000,937,1.9267823,0.0675767,3406.0,0.275043,82.0
16,2021-02-19 10:56:21+0000,4881,0.0,1.8000001,0.0,0.0,260.0
9,2021-02-19 10:35:41+0000,688,0.97181726,0.061508182,3489.0,0.1968962,62.0
9,2021-02-18 12:18:24+0000,1065,0.8250825,0.085418984,3468.0,0.30671865,227.0
9,2021-02-18 10:42:05+0000,849,1.044932,0.06248048,3593.0,0.23597167,195.0
9,2021-02-17 12:21:15+0000,1340,2.0833335,0.08007046,4662.0,0.2873858,98.0
16,2021-02-17 11:29:48+0000,2782,0.0,1.8000001,0.0,0.0,133.0
9,2021-02-17 10:41:42+0000,769,1.0799136,0.08140008,3462.0,0.22209224,85.0
9,2021-02-16 12:32:53+0000,978,0.85470086,0.07628347,3458.0,0.28245747,106.0
16,2021-02-16 11:16:39+0000,4346,0.0,1.8000001,0.0,0.0,208.0
9,2021-02-16 10:58:25+0000,666,0.748503,0.061572567,3458.0,0.19228627,117.0
9,2021-02-14 14:51:24+0000,1247,0.998004,0.071802974,3474.0,0.35889992,215.0
9,2021-02-14 13:01:37+0000,780,1.5625,0.0631353,3929.0,0.19825603,192.0
9,2021-02-14 00:23:18+0000,2158,0.5271481,0.22563176,209.0,10.272816,11.0
9,2021-02-13 23:03:43+0000,4730,7.4074073,0.066269055,17034.0,0.27767035,501.0
9,2021-02-13 15:42:37+0000,851,0.8532423,0.079503894,3431.0,0.2476971,135.0
